0_63,-25817735#3,25817735#2,4
0_64,-25817735#3,25819014#1,20
0_65,-25817735#3,25819014#2,21
0_66,-25817735#3,25819177#2,18
0_67,-25817735#3,25819177#3,19
0_68,-25817735#3,25819177#5,21
0_69,-25817735#3,28279138#5,5
0_70,-25817735#3,28921528#2,26
0_71,-25817735#3,28921528#8,19
0_72,-25817735#3,30672980#0,18
0_73,-25817735#3,30672980#6,21
0_74,-25817735#3,30673346,18
0_75,-25817735#3,30674315#11,29
0_76,-25817735#3,30674315#8,41
0_77,-25817735#3,30674315#9,42
0_78,-25817735#3,30674359#4,31
0_79,-25817735#3,30674359#5,32
0_80,-25817735#3,30674385#2,26
0_81,-25817735#3,30674948,11
0_82,-25817735#3,30675059#0,26
0_83,-25817735#3,30675059#1,27
0_84,-25817735#3,33831688,17
0_85,-25817735#3,48563895#1,20
0_86,-25817735#3,48563902#0,8
0_87,-25817735#3,48874527#2,23
0_88,-25817735#3,50077954,27
0_89,-25817735#3,96606465,9
0_90,-33831688,-131752097#1,15
0_91,-33831688,-25654991#0,44
0_92,-33831688,-48874524,38
0_93,-33831688,-50077954,33
0_94,-33831688,-50370694#0,33
0_95,-33831688,114953453#6,39
0_96,-33831688,1223050325#0,24
0_97,-33831688,1223050326,23
0_98,-33831688,1226960836#1,46
0_99,-33831688,131750844#7,28
0_100,-33831688,131750844#8,29
0_101,-33831688,131750844#9,30
0_102,-33831688,131750850#0,29
0_103,-33831688,131750853#0,26
0_104,-33831688,131750853#2,28
0_105,-33831688,131752095#2,28
0_106,-33831688,25817423#3,37
0_107,-33831688,25817735#2,28
0_108,-33831688,25819014#1,18
0_109,-33831688,25819014#2,19
0_110,-33831688,25819177#2,41
0_111,-33831688,25819177#3,42
0_112,-33831688,25819177#5,44
0_113,-33831688,28279138#5,21
0_114,-33831688,28921528#2,33
0_115,-33831688,28921528#8,30
0_116,-33831688,30672980#0,47
0_117,-33831688,30672980#6,44
0_118,-33831688,30673346,39
0_119,-33831688,30674315#11,27
0_120,-33831688,30674315#8,39
0_121,-33831688,30674315#9,40
0_122,-33831688,30674359#4,29
0_123,-33831688,30674359#5,30
0_124,-33831688,30674385#2,24
0_125,-33831688,30674948,34
0_126,-33831688,30675059#0,24
0_127,-33831688,30675059#1,25
0_128,-33831688,33831688,2
0_129,-33831688,48563895#1,46
0_130,-33831688,48563902#0,31
0_131,-33831688,48874527#2,34
0_132,-33831688,50077954,34
0_133,-33831688,96606465,32
0_134,-48874527#2,-131752097#1,18
0_135,-48874527#2,-25654991#0,28
0_136,-48874527#2,-33831688,25
0_137,-48874527#2,-48874524,32
0_138,-48874527#2,-50077954,27
0_139,-48874527#2,-50370694#0,17
0_140,-48874527#2,114953453#6,33
0_141,-48874527#2,1223050325#0,8
0_142,-48874527#2,1223050326,7
0_143,-48874527#2,1226960836#1,30
0_144,-48874527#2,131750844#7,11
0_145,-48874527#2,131750844#8,12
0_146,-48874527#2,131750844#9,13
0_147,-48874527#2,131750850#0,13
0_148,-48874527#2,131750853#0,10
0_149,-48874527#2,131750853#2,12
0_150,-48874527#2,131752095#2,22
0_151,-48874527#2,25817423#3,21
0_152,-48874527#2,25817735#2,31
0_153,-48874527#2,25819014#1,12
0_154,-48874527#2,25819014#2,13
0_155,-48874527#2,25819177#2,25
0_156,-48874527#2,25819177#3,26
0_157,-48874527#2,25819177#5,28
0_158,-48874527#2,28279138#5,17
0_159,-48874527#2,28921528#2,27
0_160,-48874527#2,28921528#8,24
0_161,-48874527#2,30672980#0,41
0_162,-48874527#2,30672980#6,28
0_163,-48874527#2,30673346,33
0_164,-48874527#2,30674315#11,21
0_165,-48874527#2,30674315#8,33
0_166,-48874527#2,30674315#9,34
0_167,-48874527#2,30674359#4,23
