Edge ID,From Junction,To Junction,From Cluster,To Cluster,From Lat,From Lon,To Lat,To Lon
-577223386#4,cluster_280804206_280886093_317934029_5440189628_#2more,280806249,1,0,41.10014236943361,16.86469937977113,41.10023025479429,16.86309243769674
-583986080,5582797967,1610796097,3,0,41.092403367344055,16.854953504089934,41.09312735542773,16.855978648500773
-92438525,1602308520,10881912355,4,3,41.10480693181174,16.850105781352976,41.10226374108996,16.849199159034608
-96606441#1,cluster_279654628_279655596,279655400,4,5,41.10861969806343,16.860137530469675,41.10949006583287,16.860629422625397
-968705518#4,279659145,339021179,5,1,41.102348756336035,16.86705575811887,41.10198200090773,16.867143012444878
1058575913#2,9727049210,9727049211,2,5,41.10695681231359,16.870223303963606,41.106974378329305,16.869562983522233
1083740671#0,10775261651,1425279608,3,4,41.10236609957379,16.849769208287043,41.1036022941667,16.849886073990593
110549881#1,1262239254,445844327,2,1,41.1014145332064,16.87446868224776,41.10114125452867,16.874114037226423
110549881#2,445844327,445844256,1,2,41.10114125452867,16.874114037226423,41.10180950638848,16.874219729722203
1107330352#10,cluster_5433899519_5433899520_9602691567_9602691569_#2more,cluster_9602691561_9602691562,4,3,41.102628560292345,16.853966294905007,41.101767630918054,16.853943861601405
1107330355#0,9602691560,9602691565,3,4,41.10176475385241,16.853820415158847,41.102616250927134,16.85374612653611
1135075614#2,10581082545,10581082543,5,4,41.10563164422533,16.860244905669738,41.10566201118566,16.859820269865462
1135075615#0,10581082550,10581082544,4,5,41.10638769846171,16.860068208402154,41.1061540374003,16.860263940525165
1135075617,2623147213,10581082544,4,5,41.10618035470602,16.85987812838807,41.1061540374003,16.860263940525165
1152950239,10775261651,5395858337,3,4,41.10236609957379,16.849769208287043,41.11221945152333,16.84888607237637
1211804125#0,10881912355,1602308520,3,4,41.10226374108996,16.849199159034608,41.10480693181174,16.850105781352976
1218775699#1,cluster_11386062342_2623145432_2623145437_2623145440_#2more,2623145427,2,1,41.10075431400376,16.876342508510152,41.10066895601841,16.874863648929605
1223049032#2,12006425630,339386170,1,0,41.09900140311453,16.86453218909577,41.098487930276825,16.864507423292036
1223054103#3,280808617,11352369095,3,4,41.10139144618753,16.856769835883647,41.10174130987348,16.85686388151352
1223054107,5534064247,280803759,3,0,41.10064883435636,16.85805137424128,41.100540461317074,16.85921884012674
1223324597#1,cluster_11827956859_279380856_7159052502_7159052503_#3more,cluster_279660399_4456255423,0,4,41.101420469737356,16.85932035201869,41.1015946123911,16.858057080901776
1225902098#4,9727049213,cluster_10790453077_1169030050_279400280_9727049209,5,2,41.10704379737293,16.86956471501735,41.107109906028555,16.87028076266512
1225908704#2,2623145416,cluster_11386062342_2623145432_2623145437_2623145440_#2more,1,2,41.10059740332752,16.87487125860558,41.10075431400376,16.876342508510152
1227457782#4,cluster_10790453077_1169030050_279400280_9727049209,10790453076,2,5,41.107109906028555,16.87028076266512,41.10719673580489,16.86957072169885
1240423340,11524588164,11524588167,0,3,41.09770518803622,16.858314889251236,41.0977278370717,16.857469168735634
1259485412#1,cluster_11709081707_1518076297,11709081723,0,1,41.099332935364,16.861298463219637,41.10005515374996,16.864539494402525
1259485412#4,11957804723,1784654340,1,0,41.09930853324349,16.864472410006258,41.09915101050929,16.861386084155722
131752094#0,1449642005,1449642028,0,1,41.097173247769184,16.865394934076992,41.09714492965923,16.865563926786283
131752095#3,281595780,281595820,0,3,41.096077738108924,16.85711333011326,41.09609516935877,16.856534910672686
135067339#0,cluster_279660683_339000466_3874441496,1784654258,0,5,41.10129504851723,16.860800760733753,41.101701912213976,16.86084547148837
135067342#0,339493338,11910759842,5,4,41.10395309968096,16.859933276893557,41.10355905111288,16.85970852238135
167058901#5,1784654266,1784654198,0,5,41.10118684138713,16.86080806527814,41.10110563916038,16.86176958514261
167058901#6,1784654198,1784654260,5,0,41.10110563916038,16.86176958514261,41.10094723816207,16.86173927069583
167058910#4,1784654198,1784654260,5,0,41.10110563916038,16.86176958514261,41.10094723816207,16.86173927069583
25586000#3,cluster_281602547_339021843_4184561944,339019368,0,1,41.09366931937928,16.866492610567914,41.09708228313231,16.867651000294053
25634722#1,357834932,279400241,2,5,41.10836405905024,16.870571573316074,41.10856970665349,16.868667790168395
25634726#3,330655164,357834888,5,2,41.10912696164381,16.86880864147947,41.10880559118211,16.870655444350444
25634741#1,279400292,279400281,5,2,41.107970482105706,16.868559929970722,41.10764547042224,16.87037051448248
25654817#18,279658837,cluster_2623145611_8678368951,2,1,41.10255940602009,16.871592123455162,41.10169440391363,16.87153790743208
25654863#1,279658974,279658218,2,5,41.10527065176782,16.87092044157714,41.105410308951384,16.867515595075453
25654865#1,279658331,cluster_279658521_279658972,5,2,41.10478739403432,16.868751657815455,41.104557904589925,16.87075349430906
25654869#1,279658586,11516310182,2,5,41.10381236396599,16.87090857105511,41.10401551143922,16.868753942131075
25654876,cluster_279658521_279658972,2623145995,2,5,41.104557904589925,16.87075349430906,41.104418496592714,16.869487015235954
25654904#0,279658828,1602401481,2,1,41.102822192091274,16.8716118519074,41.10292908909263,16.8704487313222
25654915#8,cluster_11516310171_339523759,cluster_279658835_279658911,5,1,41.10266269223575,16.86843717031337,41.10229020657099,16.868433397164882
25654958#0,cluster_279658835_279658911,1081382019,1,5,41.10229020657099,16.868433397164882,41.102340962732434,16.867325371678398
25654964#2,2623145446,2623145463,1,2,41.100815474882005,16.874849002949496,41.100914596389124,16.876152023805176
25655038#1,cluster_279659550_317934028,cluster_279659516_279659957_280886105_4456253193,5,1,41.102474105815645,16.864878362016338,41.10103894328588,16.864762137276607
25655039#2,624106162,622137586,5,1,41.10180505541959,16.866361844774776,41.10170637890644,16.866397988936686
256677982,2623147178,cluster_2623147187_2623147189,2,5,41.10561341182965,16.87053052260826,41.10576071225167,16.867592452125674
25748726#2,280804949,5440189636,3,0,41.09898118591058,16.85763892421664,41.0988616908069,16.86065585251342
25748726#7,1108920402,5440189644,0,1,41.09895558773447,16.86380668798977,41.098997994900685,16.864453385047955
25748740#1,cluster_279660399_4456255423,5534064251,4,3,41.1015946123911,16.858057080901776,41.10080161001798,16.857883258034995
25748948#3,339222023,280806249,5,0,41.100815194673004,16.863148268731265,41.10023025479429,16.86309243769674
25756821#7,cluster_1081382026_339386141,281603108,0,1,41.09781505323143,16.86453661298081,41.09863573256577,16.864669376002958
25756829#0,cluster_11386062342_2623145432_2623145437_2623145440_#2more,354971529,2,1,41.10075431400376,16.876342508510152,41.09987548076815,16.876551351817184
25817299#1,1602308491,281593962,3,4,41.1020203917021,16.84882687676746,41.10357239370584,16.849347341324286
25817423#2,635931836,11382521013,0,3,41.093407826966825,16.856002261200675,41.093433790346566,16.855687830843742
25817447,317931849,281595917,3,0,41.09589464404242,16.856597607978603,41.09517216315703,16.857519077004277
25817864,cluster_281602547_339021843_4184561944,1439196070,0,1,41.09366931937928,16.866492610567914,41.093419864698824,16.86934438030514
25819177#3,1300730072,5440189695,3,0,41.09331846638719,16.855846153569416,41.09330344191395,16.855984796607544
25819183,281616537,cluster_1439196101_281616484_339021844,1,0,41.09216852441467,16.870167328657836,41.09308146146672,16.866222243461014
28921528#3,317931849,11387136249,3,0,41.09589464404242,16.856597607978603,41.09588290259189,16.857476713599457
28921804#0,cluster_279659516_279659957_280886105_4456253193,622137535,1,5,41.10103894328588,16.864762137276607,41.10163629338309,16.864874778387026
30002088#8,339592962,cluster_10125351971_11355660500_11355660501_2623147241_#2more,5,4,41.10724968510657,16.861006427195438,41.10724795708746,16.859964711007947
30653669#0,cluster_11827956859_279380856_7159052502_7159052503_#3more,7159052504,0,4,41.101420469737356,16.85932035201869,41.10156919400042,16.859347530023584
30671472#1,5440189643,cluster_11709021825_5440189635,1,0,41.09922754589245,16.864467499363133,41.09907937679813,16.860646161061553
30671472#4,280803565,1108920368,0,3,41.09908326735933,16.860349539071283,41.09931390026017,16.857131876843294
30672338#3,1643153413,cluster_5440189634_652440893,3,0,41.09908950264139,16.857675079598827,41.098971424867216,16.860710151970103
30672338#6,1108920432,cluster_12006425626_5440189642,0,1,41.0990689369844,16.863793342061182,41.09912365954511,16.864502783276116
30673862#2,1784654189,339222023,0,5,41.10089497738356,16.861729220849774,41.100815194673004,16.863148268731265
30674315#2,639975066,5440189947,3,0,41.098106547948944,16.855952504200772,41.09782590193776,16.857951076065273
30674359#9,5440189946,639975043,0,3,41.097878498918455,16.857945890667285,41.098160012297164,16.85596615501317
30690500#0,339386140,cluster_1081382026_339386141,1,0,41.097787076642035,16.86585263194128,41.09781505323143,16.86453661298081
30690508#0,339386148,cluster_1449642011_339386186,0,1,41.09634703494554,16.865887477320282,41.09735467242026,16.86588337603769
30690508#5,1449642006,339386150,1,0,41.097145384093174,16.865802794495032,41.09634224775083,16.86572147902634
30700040#2,339493338,339492897,5,4,41.10395309968096,16.859933276893557,41.10398627965664,16.85961328566729
30701607#0,cluster_11516310171_339523759,1602401482,5,1,41.10266269223575,16.86843717031337,41.10267213491131,16.870408214876715
30701607#1,1602401482,279658837,1,2,41.10267213491131,16.870408214876715,41.10255940602009,16.871592123455162
30706677#0,cluster_279654628_279655596,339593264,4,5,41.10861969806343,16.860137530469675,41.10834939661959,16.861073572647502
31785088#0,cluster_11825860335_11865809784,1481519291,4,5,41.10540400997296,16.859788575537863,41.10536180342532,16.860929410625303
318933773#0,cluster_10125351971_11355660500_11355660501_2623147241_#2more,279660157,4,5,41.10724795708746,16.859964711007947,41.10710483419146,16.861363888027807
325737262#6,10926268243,279659172,2,1,41.102660798305045,16.873632821121205,41.10075822988338,16.873639698921213
340004411,445844263,849595449,2,1,41.101253224763596,16.874827518953573,41.101106507425186,16.874638537228584
37960463,639177827,1262239242,1,2,41.10090774135911,16.874974396037643,41.10114263917707,16.874964288937935
