datetime,free_flow_speed,traffic_speed,density_factor,number_of_vehicles,points
2024-07-25T10:00:00+02:00,46.68,29.79574468085106,1.5666666666666669,265,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T10:30:00+02:00,46.68,30.116129032258065,1.55,262,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T11:00:00+02:00,46.68,30.44347826086957,1.5333333333333332,259,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T11:30:00+02:00,46.68,30.44347826086957,1.5333333333333332,259,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T12:00:00+02:00,46.68,30.77802197802198,1.5166666666666666,257,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T12:30:00+02:00,46.68,31.469662921348316,1.4833333333333332,251,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T13:00:00+02:00,46.68,31.469662921348316,1.4833333333333332,251,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T13:30:00+02:00,46.68,32.19310344827586,1.45,245,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T14:00:00+02:00,46.68,32.56744186046512,1.4333333333333333,242,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T14:30:00+02:00,46.68,32.56744186046512,1.4333333333333333,242,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
2024-07-25T15:00:00+02:00,46.68,32.19310344827586,1.45,245,"[{'latitude': 41.13407, 'longitude': 16.81843}, {'latitude': 41.13393, 'longitude': 16.81889}, {'latitude': 41.13386, 'longitude': 16.8191}, {'latitude': 41.1337, 'longitude': 16.81964}, {'latitude': 41.13345, 'longitude': 16.82047}, {'latitude': 41.13309, 'longitude': 16.82163}, {'latitude': 41.13283, 'longitude': 16.82254}, {'latitude': 41.13281, 'longitude': 16.82262}, {'latitude': 41.13281, 'longitude': 16.82263}, {'latitude': 41.13272, 'longitude': 16.82289}, {'latitude': 41.13227, 'longitude': 16.82437}, {'latitude': 41.13191, 'longitude': 16.82554}, {'latitude': 41.13145, 'longitude': 16.82703}]"
