Flow ID,Start Edge ID,End Edge ID,Flow Length,Start From Lat,Start From Lon,Start To Lat,Start To Lon,End From Lat,End From Lon,End To Lat,End To Lon,Random_const,Gamma,Gamma_agg,Gamma_norm,Start Count,End Count
0_2025,48874524,131750853#0,20,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09428507077666,16.861822930016572,41.094248634240174,16.861820234016683,0.9102287444718549,0.04551143722359274,2.595294579921466,0.017536135425894477,45.0,0.0
0_2026,48874524,131750853#2,22,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09422326217536,16.861818445841735,41.09406666971318,16.861809974981103,0.9175767159997489,0.041708032545443134,2.595294579921466,0.016070635244306342,45.0,0.0
0_2027,48874524,131752095#2,20,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09606913880409,16.857384087393385,41.09607773810893,16.85711333011326,0.7588602978143688,0.03794301489071844,2.595294579921466,0.014619926070922787,45.0,0.0
0_2028,48874524,25817423#3,29,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.093433790346566,16.855687830843742,41.09352569242476,16.85465158647345,0.6365523347018461,0.02195008050696021,2.595294579921466,0.008457645107718147,45.0,0.0
0_2029,48874524,25817735#2,41,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09257525037648,16.866055037799217,41.08991586912939,16.865878687144406,0.5348384706616389,0.013044840747844852,2.595294579921466,0.005026343001201656,45.0,0.0
0_2030,48874524,25819014#1,12,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09637979984023,16.861535604961926,41.096390396588056,16.86145398483175,0.6814510633879165,0.056787588615659704,2.595294579921466,0.021880979929984713,45.0,0.0
0_2031,48874524,25819014#2,13,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.096390396588056,16.86145398483175,41.09617566373433,16.86105237527639,0.915757499699676,0.07044288459228278,2.595294579921466,0.027142539092581307,45.0,0.0
0_2032,48874524,25819177#2,33,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09333584930795,16.855672929401177,41.09331846638719,16.855846153569416,0.9069969240974889,0.02748475527568148,2.595294579921466,0.010590225667759525,45.0,0.0
0_2033,48874524,25819177#3,34,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09331846638719,16.855846153569416,41.09330344191395,16.855984796607544,0.9013312014498169,0.026509741219112263,2.595294579921466,0.010214540354765605,45.0,0.0
0_2034,48874524,25819177#5,36,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09328897220411,16.85615607855325,41.093276282258536,16.856306336332803,0.7881679403593055,0.021893553898869596,2.595294579921466,0.008435864686902748,45.0,0.0
0_2035,48874524,28279138#5,27,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09309962997091,16.8641768999245,41.09122003932151,16.863954806076606,0.6018979834107441,0.02229251790410163,2.595294579921466,0.008589590590820794,45.0,0.0
0_2036,48874524,28921528#2,25,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.09590934506375,16.85589778274809,41.09589464404242,16.856597607978603,0.6538930418286213,0.026155721673144852,2.595294579921466,0.010078132122456916,45.0,0.0
0_2037,48874524,28921528#8,22,41.09720965467912,16.86010828803053,41.09782874807601,16.858422322289133,41.095864883749904,16.858939789299576,41.09579879841287,16.860483307032734,0.5023458566768297,0.022833902576219534,2.595294579921466,0.00879819298852406,45.0,0.0
