Flow ID,Start Edge ID,End Edge ID,Start From Lat,Start From Lon,Start To Lat,Start To Lon,End From Lat,End From Lon,End To Lat,End To Lon,Start Count,End Count
6_38,-561837466,448630413#22,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
6_39,-561837466,561837466,41.098984441526575,16.878481406027163,41.09987548076815,16.876551351817184,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,10.0,0.0
6_40,1218775699#6,-31951173#0,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_41,1218775699#6,1225908703#1,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_42,1218775699#6,1236614318#2,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_43,1218775699#6,25621696#1,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_44,1218775699#6,25756829#1,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_45,1218775699#6,25817868#5,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_46,1218775699#6,30655159,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_47,1218775699#6,417312024#5,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
6_48,1218775699#6,448630413#22,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
6_49,1218775699#6,561837466,41.10061766585756,16.87262355321792,41.10055488753444,16.871492806882504,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,10.0,0.0
6_50,1219744082#1,-31951173#0,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_51,1219744082#1,1225908703#1,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_52,1219744082#1,1236614318#2,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_53,1219744082#1,25621696#1,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_54,1219744082#1,25756829#1,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_55,1219744082#1,25817868#5,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_56,1219744082#1,30655159,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_57,1219744082#1,417312024#5,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
6_58,1219744082#1,448630413#22,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
6_59,1219744082#1,561837466,41.10106339499217,16.87820819789415,41.10102336782493,16.877729677028306,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,10.0,0.0
6_60,1265255790#1,-31951173#0,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_61,1265255790#1,1225908703#1,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_62,1265255790#1,1236614318#2,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_63,1265255790#1,25621696#1,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_64,1265255790#1,25756829#1,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_65,1265255790#1,25817868#5,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_66,1265255790#1,30655159,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_67,1265255790#1,417312024#5,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
6_68,1265255790#1,448630413#22,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
6_69,1265255790#1,561837466,41.10062425919737,16.871164815951005,41.100751782542346,16.870051378138754,41.09987548076815,16.876551351817184,41.098984441526575,16.878481406027163,10.0,0.0
6_70,31951173#0,-31951173#0,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.09286038235422,16.869290772673683,41.09303865127324,16.867774205468272,10.0,0.0
6_71,31951173#0,1225908703#1,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.10055488753444,16.871492806882504,41.10052889860115,16.872626270373804,10.0,0.0
6_72,31951173#0,1236614318#2,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.10094139299052,16.8777522285218,41.10106339499217,16.87820819789415,10.0,0.0
6_73,31951173#0,25621696#1,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474,10.0,0.0
6_74,31951173#0,25756829#1,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.09987548076815,16.876551351817184,41.0997800968384,16.87658423938435,10.0,0.0
6_75,31951173#0,25817868#5,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.095606823823886,16.878150943377637,41.0963865057696,16.882438199943337,10.0,0.0
6_76,31951173#0,30655159,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.09297156841768,16.87360732576134,41.09177370683735,16.873571853706075,10.0,0.0
6_77,31951173#0,417312024#5,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.09216852441467,16.870167328657836,41.09061326405001,16.869886641915734,10.0,0.0
6_78,31951173#0,448630413#22,41.09303865127324,16.867774205468272,41.09286038235422,16.869290772673683,41.10066513671256,16.870034392251156,41.10054785686157,16.871143832716907,10.0,0.0
