flow_id,start_point_lat,start_point_lon,via_point_1_lat,via_point_1_lon,via_point_2_lat,via_point_2_lon,end_point_lat,end_point_lon
flow_5_561,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10914574762715,16.86574982248076,41.10906564507099,16.86691322434958
flow_5_562,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10593974387052,16.86510993658547,41.10637833713364,16.865208689087556
flow_5_563,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10912734733775,16.863063779201443,41.10970529896603,16.86326757450766
flow_5_564,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10724968510657,16.861006427195438,41.10834939661959,16.861073572647502
flow_5_565,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10789333241272,16.86291336901386,41.107812671096845,16.86345068308876
flow_5_566,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10708624166555,16.866809147339314,41.10707862373311,16.86759574699857
flow_5_567,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10793919315882,16.86772898735496,41.10803228893905,16.867731507230168
flow_5_568,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10803228893905,16.867731507230168,41.10843334313823,16.867723226014
flow_5_569,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.10928540564486,16.867758931986803,41.11040987403336,16.867987672581428
flow_5_570,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.1045372400796,16.865201946666215,41.10454196713804,16.86509359531177
flow_5_571,41.109145712663846,16.866535828107896,41.1094627412817,16.866643418109717,41.11163796896053,16.862535602408425,41.10949006583287,16.860629422625397
flow_5_572,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.10561139136639,16.860522875069222,41.10586594045665,16.860740368222224
flow_5_573,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.10593006633324,16.86024451803452,41.1061540374003,16.860263940525165
flow_5_574,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.10529931263373,16.864197719579735,41.105358063618205,16.8639291776279
flow_5_575,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.1094627412817,16.866643418109717,41.109145712663846,16.866535828107896
flow_5_576,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.10949006583287,16.860629422625397,41.11163796896053,16.862535602408425
flow_5_577,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.1084192109197,16.864915502792314,41.10833845965415,16.864946086143913
flow_5_578,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.104628432580256,16.864632211357712,41.10471595316798,16.864645286345713
flow_5_579,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.10471595316798,16.864645286345713,41.10482759798206,16.864586998125468
flow_5_580,41.10478739403432,16.868751657815455,41.10402789318045,16.868612584926364,41.10530898236287,16.864507375939425,41.10554708846225,16.864538287566845
